POD Load Time 00:00:01.6770045
Loop 133 - 00:00:00.0759974 
Loop 134 - 00:00:00.0770025 
Loop 135 - 00:00:00.0769983 
Loop 136 - 00:00:00.6030013 
Loop 137 - 00:00:00.0770008 
Loop 138 - 00:00:00.0749985 
Loop 139 - 00:00:00.0749995 
Loop 140 - 00:00:00.0750014 
Loop 141 - 00:00:00.0780002 
Loop 142 - 00:00:00.0770013 
Loop 143 - 00:00:00.0749978 
Loop 144 - 00:00:00.0790014 
Loop 145 - 00:00:00.5480009 
Loop 146 - 00:00:00.0779992 
Loop 147 - 00:00:00.0779990 
Loop 148 - 00:00:00.0800009 
Loop 149 - 00:00:00.0790013 
Loop 150 - 00:00:00.0739989 
Loop 151 - 00:00:00.0810024 
Loop 152 - 00:00:00.0749977 
Loop 153 - 00:00:00.6030017 
Loop 154 - 00:00:00.0769991 
Loop 155 - 00:00:00.0760010 
Loop 156 - 00:00:00.0730008 
Loop 157 - 00:00:00.0789987 
Loop 158 - 00:00:00.0750008 
Loop 159 - 00:00:00.0810011 
Loop 160 - 00:00:00.5479989 
Loop 161 - 00:00:00.0750020 
Loop 162 - 00:00:00.0739986 
Loop 163 - 00:00:00.0759991 
Loop 164 - 00:00:00.0859996 
Loop 165 - 00:00:00.0900012 
Loop 166 - 00:00:00.5410025 
Loop 167 - 00:00:00.0859986 
Loop 168 - 00:00:00.0809994 
Loop 169 - 00:00:00.0760003 
Loop 170 - 00:00:00.0780003 
Loop 171 - 00:00:00.0820008 
Loop 172 - 00:00:00.0800015 
Loop 173 - 00:00:00.0769989 
Loop 174 - 00:00:00.0769989 
Loop 175 - 00:00:00.0750009 
Loop 176 - 00:00:00.0780008 
Loop 177 - 00:00:00.0820009 
Loop 178 - 00:00:00.0749983 
Loop 179 - 00:00:00.5540015 
Loop 180 - 00:00:00.0779995 
Loop 181 - 00:00:00.0770000 
Loop 182 - 00:00:00.0819994 
Loop 183 - 00:00:00.0810019 
Loop 184 - 00:00:00.0749998 
Loop 185 - 00:00:00.0759987 
Loop 186 - 00:00:00.0770004 
Loop 187 - 00:00:00.0810011 
Loop 188 - 00:00:00.0820005 
Loop 189 - 00:00:00.0780007 
Loop 190 - 00:00:00.0769987 
Loop 191 - 00:00:00.5730034 
Loop 192 - 00:00:00.0809974 
Loop 193 - 00:00:00.0800012 
Loop 194 - 00:00:00.0809971 
Loop 195 - 00:00:00.0840008 
Loop 196 - 00:00:00.0880021 
Loop 197 - 00:00:00.0829994 
Loop 198 - 00:00:00.0770007 
Loop 199 - 00:00:00.0759990 
Loop 200 - 00:00:00.0760000 
Loop 201 - 00:00:00.0770003 
Loop 202 - 00:00:00.6120014 
Loop 203 - 00:00:00.0810004 
Loop 204 - 00:00:00.0840001 
Loop 205 - 00:00:00.0769973 
Loop 206 - 00:00:00.0780021 
Loop 207 - 00:00:00.0730004 
Loop 208 - 00:00:00.0739992 
Loop 209 - 00:00:00.0760001 
Loop 210 - 00:00:00.0780018 
Loop 211 - 00:00:00.0769982 
Loop 212 - 00:00:00.5330005 
Loop 213 - 00:00:00.0780015 
Loop 214 - 00:00:00.0939986 
Loop 215 - 00:00:00.1060003 
Loop 216 - 00:00:00.1009996 
Loop 217 - 00:00:00.0930008 
Loop 218 - 00:00:00.0759988 
Loop 219 - 00:00:00.0770026 
Loop 220 - 00:00:00.0749988 
Loop 221 - 00:00:00.5300003 
Loop 222 - 00:00:00.0759995 
Loop 223 - 00:00:00.0740005 
Loop 224 - 00:00:00.0820003 
Loop 225 - 00:00:00.0750013 
Loop 226 - 00:00:00.0759992 
Loop 227 - 00:00:00.0749997 
Loop 228 - 00:00:00.0760008 
Loop 229 - 00:00:00.5340008 
Loop 230 - 00:00:00.0779996 
Loop 231 - 00:00:00.0750005 
Loop 232 - 00:00:00.0740006 
Loop 233 - 00:00:00.0749997 
Loop 234 - 00:00:00.0709999 
Loop 235 - 00:00:00.0749988 
Loop 236 - 00:00:00.5350020 
Loop 237 - 00:00:00.0800015 
Loop 238 - 00:00:00.0749970 
Loop 239 - 00:00:00.0750011 
Loop 240 - 00:00:00.0730003 
Loop 241 - 00:00:00.0770014 
Loop 242 - 00:00:00.5609996 
Loop 243 - 00:00:00.0800006 
Loop 244 - 00:00:00.0780001 
Loop 245 - 00:00:00.0759998 
Loop 246 - 00:00:00.0780006 
Loop 247 - 00:00:00.0759993 
Loop 248 - 00:00:00.0739991 
Loop 249 - 00:00:00.0759994 
Loop 250 - 00:00:00.0750043 
Loop 251 - 00:00:00.0739979 
Loop 252 - 00:00:00.0749993 
Loop 253 - 00:00:00.0759998 
Loop 254 - 00:00:00.0779994 
Loop 255 - 00:00:00.5640031 
Loop 256 - 00:00:00.0870011 
Loop 257 - 00:00:00.1079969 
Loop 258 - 00:00:00.0810015 
Loop 259 - 00:00:00.0800004 
Loop 260 - 00:00:00.0770006 
Loop 261 - 00:00:00.0799972 
Loop 262 - 00:00:00.0820044 
Loop 263 - 00:00:00.0889972 
Loop 264 - 00:00:00.0799996 
Loop 265 - 00:00:00.0780006 
Loop 266 - 00:00:00.0749992 
Loop 267 - 00:00:00.6030016 
Loop 268 - 00:00:00.0829996 
Loop 269 - 00:00:00.0750008 
Loop 270 - 00:00:00.0769998 
Loop 271 - 00:00:00.0769986 
Loop 272 - 00:00:00.0790023 
Loop 273 - 00:00:00.0739985 
Loop 274 - 00:00:00.0760005 
Loop 275 - 00:00:00.0749999 
Loop 276 - 00:00:00.0770017 
Loop 277 - 00:00:00.0750009 
Loop 278 - 00:00:00.5460017 
Loop 279 - 00:00:00.0939995 
Loop 280 - 00:00:00.1019996 
Loop 281 - 00:00:00.1000021 
Loop 282 - 00:00:00.0799983 
Loop 283 - 00:00:00.0760014 
Loop 284 - 00:00:00.0769976 
Loop 285 - 00:00:00.0760018 
Loop 286 - 00:00:00.0749991 
Loop 287 - 00:00:00.0760008 
Loop 288 - 00:00:00.5280008 
Loop 289 - 00:00:00.0739992 
Loop 290 - 00:00:00.0770010 
Loop 291 - 00:00:00.0879988 
Loop 292 - 00:00:00.0769998 
Loop 293 - 00:00:00.0920007 
Loop 294 - 00:00:00.1039994 
Loop 295 - 00:00:00.0990010 
Loop 296 - 00:00:00.0749999 
Loop 297 - 00:00:00.5320016 
Loop 298 - 00:00:00.0750004 
Loop 299 - 00:00:00.0769989 
Loop 300 - 00:00:00.0750018 
Loop 301 - 00:00:00.0779989 
Loop 302 - 00:00:00.0760021 
Loop 303 - 00:00:00.0769962 
Loop 304 - 00:00:00.0890009 
Loop 305 - 00:00:00.5880005 
Loop 306 - 00:00:00.0770011 
Loop 307 - 00:00:00.0730000 
Loop 308 - 00:00:00.0740018 
Loop 309 - 00:00:00.0739981 
Loop 310 - 00:00:00.0750002 
Loop 311 - 00:00:00.0740001 
Loop 312 - 00:00:00.5420030 
Loop 313 - 00:00:00.0789971 
Loop 314 - 00:00:00.0699994 
Loop 315 - 00:00:00.0750004 
Loop 316 - 00:00:00.0770013 
Loop 317 - 00:00:00.0749993 
Loop 318 - 00:00:00.5350012 
Loop 319 - 00:00:00.0750012 
Loop 320 - 00:00:00.0729982 
Loop 321 - 00:00:00.0749999 
Loop 322 - 00:00:00.0740003 
Loop 323 - 00:00:00.0759992 
Loop 324 - 00:00:00.0740008 
Loop 325 - 00:00:00.0750005 
Loop 326 - 00:00:00.0740009 
Loop 327 - 00:00:00.0749983 
Loop 328 - 00:00:00.0760018 
Loop 329 - 00:00:00.0739989 
Loop 330 - 00:00:00.0750006 
Loop 331 - 00:00:00.5469997 
Loop 332 - 00:00:00.0870002 
Loop 333 - 00:00:00.0789991 
Loop 334 - 00:00:00.0750016 
Loop 335 - 00:00:00.0760013 
Loop 336 - 00:00:00.0889983 
Loop 337 - 00:00:00.0830013 
Loop 338 - 00:00:00.0799990 
Loop 339 - 00:00:00.0850009 
Loop 340 - 00:00:00.0809994 
Loop 341 - 00:00:00.0759997 
Loop 342 - 00:00:00.0840010 
Loop 343 - 00:00:00.5730030 
Loop 344 - 00:00:00.0759967 
Loop 345 - 00:00:00.0760004 
Loop 346 - 00:00:00.0839997 
Loop 347 - 00:00:00.0840012 
Loop 348 - 00:00:00.0850016 
Loop 349 - 00:00:00.0939997 
Loop 350 - 00:00:00.0859983 
Loop 351 - 00:00:00.0890030 
Loop 352 - 00:00:00.1069994 
Loop 353 - 00:00:00.1649998 
Loop 354 - 00:00:00.6050000 
Loop 355 - 00:00:00.0959993 
Loop 356 - 00:00:00.0830012 
Loop 357 - 00:00:00.0780001 
Loop 358 - 00:00:00.0990021 
Loop 359 - 00:00:00.0849973 
Loop 360 - 00:00:00.0770000 
Loop 361 - 00:00:00.0850004 
Loop 362 - 00:00:00.0819998 
Loop 363 - 00:00:00.0730003 
Loop 364 - 00:00:00.5570010 
Loop 365 - 00:00:00.0839986 
Loop 366 - 00:00:00.0860008 
Loop 367 - 00:00:00.0759999 
Loop 368 - 00:00:00.0720011 
Loop 369 - 00:00:00.0759993 
Loop 370 - 00:00:00.0770005 
Loop 371 - 00:00:00.0719998 
Loop 372 - 00:00:00.0720025 
Loop 373 - 00:00:00.5239981 
Loop 374 - 00:00:00.0740005 
Loop 375 - 00:00:00.0739995 
Loop 376 - 00:00:00.0749989 
Loop 377 - 00:00:00.0730013 
Loop 378 - 00:00:00.0709996 
Loop 379 - 00:00:00.0720003 
Loop 380 - 00:00:00.0700013 
Loop 381 - 00:00:00.5209996 
Loop 382 - 00:00:00.0830018 
Loop 383 - 00:00:00.0839989 
Loop 384 - 00:00:00.0729992 
Loop 385 - 00:00:00.0710001 
Loop 386 - 00:00:00.0760005 
Loop 387 - 00:00:00.0780018 
Loop 388 - 00:00:00.5329992 
Loop 389 - 00:00:00.0759991 
Loop 390 - 00:00:00.0720002 
Loop 391 - 00:00:00.0700009 
Loop 392 - 00:00:00.0750018 
Loop 393 - 00:00:00.0719974 
Loop 394 - 00:00:00.5280033 
Loop 395 - 00:00:00.0729974 
Loop 396 - 00:00:00.0730011 
Loop 397 - 00:00:00.0710001 
Loop 398 - 00:00:00.0740008 
Loop 399 - 00:00:00.0719989 
Loop 400 - 00:00:00.0719990 
Loop 401 - 00:00:00.0720015 
Loop 402 - 00:00:00.0730004 
Loop 403 - 00:00:00.0749998 
Loop 404 - 00:00:00.0739996 
Loop 405 - 00:00:00.0730012 
Loop 406 - 00:00:00.0719987 
Loop 407 - 00:00:00.5210033 
Loop 408 - 00:00:00.0720002 
Loop 409 - 00:00:00.0730022 
Loop 410 - 00:00:00.0749965 
Loop 411 - 00:00:00.0869993 
Loop 412 - 00:00:00.0840016 
Loop 413 - 00:00:00.0739979 
Loop 414 - 00:00:00.0710014 
Loop 415 - 00:00:00.0730000 
Loop 416 - 00:00:00.0740008 
Loop 417 - 00:00:00.0719983 
Loop 418 - 00:00:00.0720009 
Loop 419 - 00:00:00.5220006 
Loop 420 - 00:00:00.0729992 
Loop 421 - 00:00:00.0710002 
Loop 422 - 00:00:00.0750013 
Loop 423 - 00:00:00.0730001 
Loop 424 - 00:00:00.0719987 
Loop 425 - 00:00:00.0720006 
Loop 426 - 00:00:00.0740000 
Loop 427 - 00:00:00.0720005 
Loop 428 - 00:00:00.0709998 
Loop 429 - 00:00:00.0710017 
Loop 430 - 00:00:00.5349987 
Loop 431 - 00:00:00.0740006 
Loop 432 - 00:00:00.0709983 
Loop 433 - 00:00:00.0730009 
Loop 434 - 00:00:00.0720015 
Loop 435 - 00:00:00.0720009 
Loop 436 - 00:00:00.0719984 
Loop 437 - 00:00:00.0720003 
Loop 438 - 00:00:00.0719989 
Loop 439 - 00:00:00.0740011 
Loop 440 - 00:00:00.5310003 
Loop 441 - 00:00:00.0760004 
Loop 442 - 00:00:00.0730008 
Loop 443 - 00:00:00.0749990 
Loop 444 - 00:00:00.0729991 
Loop 445 - 00:00:00.0760022 
Loop 446 - 00:00:00.0740014 
Loop 447 - 00:00:00.0739967 
Loop 448 - 00:00:00.0750004 
Loop 449 - 00:00:00.5290025 
Loop 450 - 00:00:00.0849986 
Loop 451 - 00:00:00.0750016 
Loop 452 - 00:00:00.0749984 
Loop 453 - 00:00:00.0749996 
Loop 454 - 00:00:00.0740023 
Loop 455 - 00:00:00.0749991 
Loop 456 - 00:00:00.0759995 
Loop 457 - 00:00:00.5280012 
Loop 458 - 00:00:00.0860010 
Loop 459 - 00:00:00.0789987 
Loop 460 - 00:00:00.0749999 
Loop 461 - 00:00:00.0760017 
Loop 462 - 00:00:00.0749982 
Loop 463 - 00:00:00.0749998 
Loop 464 - 00:00:00.5280021 
Loop 465 - 00:00:00.0759990 
Loop 466 - 00:00:00.0740014 
Loop 467 - 00:00:00.0750004 
Loop 468 - 00:00:00.0739984 
Loop 469 - 00:00:00.0780013 
Loop 470 - 00:00:00.5720008 
Loop 471 - 00:00:00.0839993 
Loop 472 - 00:00:00.0860005 
Loop 473 - 00:00:00.0880010 
Loop 474 - 00:00:00.0870012 
Loop 475 - 00:00:00.0809968 
Loop 476 - 00:00:00.0840009 
Loop 477 - 00:00:00.0830001 
Loop 478 - 00:00:00.0850023 
Loop 479 - 00:00:00.0869977 
Loop 480 - 00:00:00.0820004 
Loop 481 - 00:00:00.0780004 
Loop 482 - 00:00:00.0739988 
Loop 483 - 00:00:00.5260041 
Loop 484 - 00:00:00.0759969 
Loop 485 - 00:00:00.0760017 
Loop 486 - 00:00:00.0739989 
Loop 487 - 00:00:00.0750000 
Loop 488 - 00:00:00.0749995 
Loop 489 - 00:00:00.0740008 
Loop 490 - 00:00:00.0749995 
Loop 491 - 00:00:00.0750017 
Loop 492 - 00:00:00.0749989 
Loop 493 - 00:00:00.0759998 
Loop 494 - 00:00:00.0720013 
Loop 495 - 00:00:00.5329995 
Loop 496 - 00:00:00.0760013 
Loop 497 - 00:00:00.0739995 
Loop 498 - 00:00:00.0760003 
Loop 499 - 00:00:00.0740000 
Loop 500 - 00:00:00.0739990 
Loop 501 - 00:00:00.0750034 
Loop 502 - 00:00:00.0749970 
Loop 503 - 00:00:00.0739997 
Loop 504 - 00:00:00.0760002 
Loop 505 - 00:00:00.0750020 
Loop 506 - 00:00:00.5290026 
Loop 507 - 00:00:00.0799979 
Loop 508 - 00:00:00.0769995 
Loop 509 - 00:00:00.0750026 
Loop 510 - 00:00:00.0749968 
Loop 511 - 00:00:00.0750006 
Loop 512 - 00:00:00.0740003 
Loop 513 - 00:00:00.0759995 
Loop 514 - 00:00:00.0770000 
Loop 515 - 00:00:00.0760014 
Loop 516 - 00:00:00.5260000 
Loop 517 - 00:00:00.0770006 
Loop 518 - 00:00:00.0749988 
Loop 519 - 00:00:00.0759999 
Loop 520 - 00:00:00.0770008 
Loop 521 - 00:00:00.0709992 
Loop 522 - 00:00:00.0740004 
Loop 523 - 00:00:00.0760012 
Loop 524 - 00:00:00.0750016 
Loop 525 - 00:00:00.5279989 
Loop 526 - 00:00:00.0739983 
Loop 527 - 00:00:00.0740025 
Loop 528 - 00:00:00.0769996 
Loop 529 - 00:00:00.0729992 
Loop 530 - 00:00:00.0749992 
Loop 531 - 00:00:00.0760010 
Loop 532 - 00:00:00.0749997 
Loop 533 - 00:00:00.5270018 
Loop 534 - 00:00:00.0750003 
Loop 535 - 00:00:00.0750006 
Loop 536 - 00:00:00.0739981 
Loop 537 - 00:00:00.0770008 
Loop 538 - 00:00:00.0749998 
Loop 539 - 00:00:00.0740011 
Loop 540 - 00:00:00.5269989 
Loop 541 - 00:00:00.0760002 
Loop 542 - 00:00:00.0739996 
Loop 543 - 00:00:00.0740001 
Loop 544 - 00:00:00.0750010 
Loop 545 - 00:00:00.0740002 
Loop 546 - 00:00:00.5279999 
Loop 547 - 00:00:00.0749998 
Loop 548 - 00:00:00.0750005 
Loop 549 - 00:00:00.0750020 
Loop 550 - 00:00:00.0749986 
Loop 551 - 00:00:00.0749992 
Loop 552 - 00:00:00.0759996 
Loop 553 - 00:00:00.0729996 
Loop 554 - 00:00:00.0740009 
Loop 555 - 00:00:00.0750034 
Loop 556 - 00:00:00.0759962 
Loop 557 - 00:00:00.0739995 
Loop 558 - 00:00:00.0760001 
Loop 559 - 00:00:00.5340022 
Loop 560 - 00:00:00.0759994 
Loop 561 - 00:00:00.0739997 
Loop 562 - 00:00:00.0749999 
Loop 563 - 00:00:00.0740026 
Loop 564 - 00:00:00.0739974 
Loop 565 - 00:00:00.0750006 
Loop 566 - 00:00:00.0750007 
Loop 567 - 00:00:00.0739994 
Loop 568 - 00:00:00.0749999 
Loop 569 - 00:00:00.0740031 
Loop 570 - 00:00:00.0749976 
Loop 571 - 00:00:00.5450027 
Loop 572 - 00:00:00.0759983 
Loop 573 - 00:00:00.0760006 
Loop 574 - 00:00:00.0769985 
Loop 575 - 00:00:00.0760010 
Loop 576 - 00:00:00.0749997 
Loop 577 - 00:00:00.0770016 
Loop 578 - 00:00:00.0769997 
Loop 579 - 00:00:00.0769998 
Loop 580 - 00:00:00.0799992 
Loop 581 - 00:00:00.0750000 
Loop 582 - 00:00:00.5340011 
Loop 583 - 00:00:00.0769990 
Loop 584 - 00:00:00.0760015 
Loop 585 - 00:00:00.0960000 
Loop 586 - 00:00:00.1019990 
Loop 587 - 00:00:00.0770010 
Loop 588 - 00:00:00.0739997 
Loop 589 - 00:00:00.0710003 
Loop 590 - 00:00:00.0730015 
Loop 591 - 00:00:00.0729984 
Loop 592 - 00:00:00.5280018 
Loop 593 - 00:00:00.0739993 
Loop 594 - 00:00:00.0730003 
Loop 595 - 00:00:00.0720000 
Loop 596 - 00:00:00.0720001 
Loop 597 - 00:00:00.0729994 
Loop 598 - 00:00:00.0720007 
Loop 599 - 00:00:00.0700000 
Loop 600 - 00:00:00.0750010 
Loop 601 - 00:00:00.5280007 
Loop 602 - 00:00:00.0799995 
Loop 603 - 00:00:00.0720017 
Loop 604 - 00:00:00.0730005 
Loop 605 - 00:00:00.0719979 
Loop 606 - 00:00:00.0709995 
Loop 607 - 00:00:00.0720001 
Loop 608 - 00:00:00.0709998 
Loop 609 - 00:00:00.5250034 
Loop 610 - 00:00:00.0719967 
Loop 611 - 00:00:00.0710026 
Loop 612 - 00:00:00.0729980 
Loop 613 - 00:00:00.0700018 
Loop 614 - 00:00:00.0739981 
Loop 615 - 00:00:00.0710007 
Loop 616 - 00:00:00.5340029 
Loop 617 - 00:00:00.0739984 
Loop 618 - 00:00:00.0739993 
Loop 619 - 00:00:00.0700004 
Loop 620 - 00:00:00.0700010 
Loop 621 - 00:00:00.0729997 
Loop 622 - 00:00:00.5340005 
Loop 623 - 00:00:00.0749988 
Loop 624 - 00:00:00.0750011 
Loop 625 - 00:00:00.0739998 
Loop 626 - 00:00:00.0740001 
Loop 627 - 00:00:00.0739999 
Loop 628 - 00:00:00.0750003 
Loop 629 - 00:00:00.0740011 
Loop 630 - 00:00:00.0769994 
Loop 631 - 00:00:00.0760004 
Loop 632 - 00:00:00.0740004 
Loop 633 - 00:00:00.0759988 
Loop 634 - 00:00:00.0750005 
Loop 635 - 00:00:00.5270007 
Loop 636 - 00:00:00.0739992 
Loop 637 - 00:00:00.0740022 
Loop 638 - 00:00:00.0759980 
Loop 639 - 00:00:00.0750012 
Loop 640 - 00:00:00.0729998 
Loop 641 - 00:00:00.0750020 
Loop 642 - 00:00:00.0759980 
Loop 643 - 00:00:00.0729989 
Loop 644 - 00:00:00.0760005 
Loop 645 - 00:00:00.0730009 
Loop 646 - 00:00:00.0760002 
Loop 647 - 00:00:00.0759990 
Loop 648 - 00:00:00.5260024 
Loop 649 - 00:00:00.0759986 
Loop 650 - 00:00:00.0739995 
Loop 651 - 00:00:00.0740003 
Loop 652 - 00:00:00.0760009 
Loop 653 - 00:00:00.0739994 
Loop 654 - 00:00:00.0750013 
Loop 655 - 00:00:00.0749999 
Loop 656 - 00:00:00.0740004 
Loop 657 - 00:00:00.0739990 
Loop 658 - 00:00:00.0749998 
Loop 659 - 00:00:00.0720000 
Loop 660 - 00:00:00.0760021 
Loop 661 - 00:00:00.5300005 
Loop 662 - 00:00:00.0759979 
Loop 663 - 00:00:00.0749998 
Loop 664 - 00:00:00.0730008 
Loop 665 - 00:00:00.0740005 
Loop 666 - 00:00:00.0750004 
Loop 667 - 00:00:00.0749994 
Loop 668 - 00:00:00.0750004 
Loop 669 - 00:00:00.0739998 
Loop 670 - 00:00:00.0740013 
Loop 671 - 00:00:00.0749990 
Loop 672 - 00:00:00.0760007 
Loop 673 - 00:00:00.5379996 
Loop 674 - 00:00:00.0759997 
Loop 675 - 00:00:00.0760035 
Loop 676 - 00:00:00.0739979 
Loop 677 - 00:00:00.0759990 
Loop 678 - 00:00:00.0740012 
Loop 679 - 00:00:00.0749996 
Loop 680 - 00:00:00.0760013 
Loop 681 - 00:00:00.0719982 
Loop 682 - 00:00:00.0780009 
Loop 683 - 00:00:00.0799993 
Loop 684 - 00:00:00.5460017 
Loop 685 - 00:00:00.0810021 
Loop 686 - 00:00:00.0750005 
Loop 687 - 00:00:00.0739964 
Loop 688 - 00:00:00.0740008 
Loop 689 - 00:00:00.0790007 
Loop 690 - 00:00:00.0829997 
Loop 691 - 00:00:00.0740002 
Loop 692 - 00:00:00.0800009 
Loop 693 - 00:00:00.0789984 
Loop 694 - 00:00:00.5380019 
Loop 695 - 00:00:00.0760006 
Loop 696 - 00:00:00.0810002 
Loop 697 - 00:00:00.0799987 
Loop 698 - 00:00:00.0740006 
Loop 699 - 00:00:00.0819993 
Loop 700 - 00:00:00.0790004 
Loop 701 - 00:00:00.0750000 
Loop 702 - 00:00:00.0810010 
Loop 703 - 00:00:00.5419998 
Loop 704 - 00:00:00.0769997 
Loop 705 - 00:00:00.0750007 
Loop 706 - 00:00:00.0789998 
Loop 707 - 00:00:00.0800013 
Loop 708 - 00:00:00.0749982 
Loop 709 - 00:00:00.0750015 
Loop 710 - 00:00:00.0790003 
Loop 711 - 00:00:00.5400009 
Loop 712 - 00:00:00.0749985 
Loop 713 - 00:00:00.0740008 
Loop 714 - 00:00:00.0750018 
Loop 715 - 00:00:00.0739985 
Loop 716 - 00:00:00.0790012 
Loop 717 - 00:00:00.0789986 
Loop 718 - 00:00:00.5410015 
Loop 719 - 00:00:00.0760011 
Loop 720 - 00:00:00.0739993 
Loop 721 - 00:00:00.0739993 
Loop 722 - 00:00:00.0750011 
Loop 723 - 00:00:00.0749988 
Loop 724 - 00:00:00.5290021 
Loop 725 - 00:00:00.0759978 
Loop 726 - 00:00:00.0740032 
Loop 727 - 00:00:00.0769988 
Loop 728 - 00:00:00.0719996 
Loop 729 - 00:00:00.5300000 
Loop 730 - 00:00:00.0759997 
Loop 731 - 00:00:00.0740004 
Loop 732 - 00:00:00.0730003 
Loop 733 - 00:00:00.5290013 
Loop 734 - 00:00:00.0760010 
Loop 735 - 00:00:00.0739983 
